datetime,Won/kwh,temperature,natural gas Price,coal Price,WTI Price,Elc Demand
2021-01-01 1:00,66.74,-8.7,,,,62.62
2021-01-01 2:00,66.74,-9.1,,,,60.26
2021-01-01 3:00,67.72,-9.3,,,,58.39
2021-01-01 4:00,67.72,-9.3,,,,57.4
2021-01-01 5:00,67.72,-9.7,,,,57.2
2021-01-01 6:00,65.93,-9.7,,,,57.59
2021-01-01 7:00,67.72,-9.3,,,,57.88
2021-01-01 8:00,67.72,-9.3,,,,57.28
2021-01-01 9:00,66.46,-8.6,,,,56.57
2021-01-01 10:00,64.62,-6.1,,,,55.09
2021-01-01 11:00,63.31,-3.2,,,,54.72
2021-01-01 12:00,64.52,-1.1,,,,53.45
2021-01-01 13:00,66.85,-0.2,,,,52.76
2021-01-01 14:00,65.36,1.4,,,,52.86
2021-01-01 15:00,67.72,1.2,,,,53.25
2021-01-01 16:00,67.72,-0.2,,,,55.24
2021-01-01 17:00,67.72,-0.7,,,,57.7
2021-01-01 18:00,67.72,-1.4,,,,60.52
2021-01-01 19:00,67.72,-1.5,,,,61.67
2021-01-01 20:00,67.72,-1.6,,,,61.47
2021-01-01 21:00,68.45,-1.6,,,,60.99
2021-01-01 22:00,68.45,-1.8,,,,60.52
2021-01-01 23:00,69.61,-2.6,,,,60.94
2021-01-02 1:00,68.01,-3.4,,,,61.54
2021-01-02 2:00,66.19,-4.1,,,,61.46
2021-01-02 3:00,66.34,-5,,,,59.12
2021-01-02 4:00,68.18,-5.8,,,,57.56
2021-01-02 5:00,68.21,-6.3,,,,56.68
2021-01-02 6:00,69.61,-6.6,,,,56.78
2021-01-02 7:00,67.82,-6.6,,,,57.17
2021-01-02 8:00,65.84,-7.4,,,,57.64
2021-01-02 9:00,67.4,-8.3,,,,57.32
2021-01-02 10:00,65.57,-7.6,,,,57.49
2021-01-02 11:00,64.53,-6,,,,56.08
2021-01-02 12:00,64.41,-5.3,,,,55.83
2021-01-02 13:00,64.48,-3.2,,,,54.95
2021-01-02 14:00,69.58,-2.3,,,,54.05
2021-01-02 15:00,67.45,-1.5,,,,53.93
2021-01-02 16:00,69.58,-2.3,,,,54.44
2021-01-02 17:00,69.58,-1.7,,,,56.13
2021-01-02 18:00,69.58,-2.3,,,,58.4
2021-01-02 19:00,67.91,-3.2,,,,60.73
2021-01-02 20:00,67.9,-3.8,,,,62.2
2021-01-02 21:00,68.59,-4.2,,,,61.91
2021-01-02 22:00,69.61,-5,,,,61.34
2021-01-02 23:00,66.49,-5.5,,,,60.89
2021-01-02 0:00,67.09,-6.1,,,,61.41
2021-01-03 1:00,68.6,-6.6,,,,62.54
2021-01-03 2:00,63.26,-7.3,,,,57.05
2021-01-03 3:00,63.26,-7.7,,,,53.81
2021-01-03 4:00,66.06,-8,,,,51.86
2021-01-03 5:00,69.5,-8.3,,,,51.07
2021-01-03 6:00,69.12,-8.8,,,,51.28
2021-01-03 7:00,68.18,-9,,,,52.16
2021-01-03 8:00,62.66,-8.7,,,,53.13
2021-01-03 9:00,69.47,-8.7,,,,53.42
2021-01-03 10:00,68.68,-7.6,,,,53.48
2021-01-03 11:00,62.03,-5.7,,,,51.97
2021-01-03 12:00,66.35,-4.2,,,,52.32
2021-01-03 13:00,66.41,-3.1,,,,52.04
2021-01-03 14:00,69.47,-2.4,,,,51.44
2021-01-03 15:00,67.83,-2.3,,,,52.22
2021-01-03 16:00,69.47,-2.4,,,,53.42
2021-01-03 17:00,69.47,-2.3,,,,54.92
2021-01-03 18:00,69.47,-2.6,,,,57.09
2021-01-03 19:00,67.91,-3.6,,,,60.11
2021-01-03 20:00,66.37,-4.4,,,,61.39
2021-01-03 21:00,67.49,-4.9,,,,60.4
2021-01-03 22:00,67.72,-5.3,,,,58.93
2021-01-03 23:00,66.4,-5.9,,,,57.27
2021-01-03 0:00,64.88,-5.3,,,,57.8
2021-01-04 1:00,62.55,-6.2,,,,58.33
2021-01-04 2:00,62.55,-6.5,,,,55.55
2021-01-04 3:00,64.25,-7,,,,53.38
2021-01-04 4:00,66.43,-7.1,,,,52.2
2021-01-04 5:00,69.65,-7.4,,,,51.91
2021-01-04 6:00,71.17,-8.1,,,,52.61
2021-01-04 7:00,73.04,-8.1,,,,54.59
2021-01-04 8:00,84.76,-8.3,,,,58.35
2021-01-04 9:00,72.72,-8.1,,,,64.99
2021-01-04 10:00,71.72,-7.6,,,,74.64
2021-01-04 11:00,69.32,-5.6,,,,76.88
2021-01-04 12:00,69.77,-3,,,,75.11
2021-01-04 13:00,71.92,-1.5,,,,71.95
2021-01-04 14:00,71.92,-0.6,,,,67.19
2021-01-04 15:00,72.3,-0.4,,,,69.28
2021-01-04 16:00,72.3,0,,,,70.58
2021-01-04 17:00,72.2,0.2,,,,72.24
2021-01-04 18:00,71.79,-0.3,,,,74.98
2021-01-04 19:00,69.49,-0.9,,,,74.49
2021-01-04 20:00,68.18,-0.9,,,,72.26
2021-01-04 21:00,68.18,-0.7,,,,69.57
2021-01-04 22:00,69.44,-0.5,,,,67.3
2021-01-04 23:00,69.33,-0.6,,,,64.44
2021-01-04 0:00,69.33,-1.3,2.581,81.2,47.62,63.27
2021-01-05 1:00,69.33,-2.1,2.581,81.2,47.62,65.18
2021-01-05 2:00,69.33,-2.5,2.581,81.2,47.62,63.05
2021-01-05 3:00,69.33,-2.5,2.581,81.2,47.62,60.8
2021-01-05 4:00,69.33,-2.5,2.581,81.2,47.62,59.52
2021-01-05 5:00,69.44,-2.7,2.581,81.2,47.62,59.03
2021-01-05 6:00,72.79,-3.9,2.581,81.2,47.62,59.53
2021-01-05 7:00,75.78,-4.2,2.581,81.2,47.62,60.91
2021-01-05 8:00,75.78,-4.8,2.581,81.2,47.62,63.98
2021-01-05 9:00,75.58,-5.6,2.581,81.2,47.62,68.93
2021-01-05 10:00,72.87,-5.8,2.581,81.2,47.62,76.67
2021-01-05 11:00,73.89,-5.2,2.581,81.2,47.62,78.51
2021-01-05 12:00,73.31,-4.6,2.581,81.2,47.62,76.11
2021-01-05 13:00,73.31,-4.6,2.581,81.2,47.62,73.41
2021-01-05 14:00,73.31,-4.1,2.581,81.2,47.62,70.26
2021-01-05 15:00,73.31,-4.2,2.581,81.2,47.62,74.33
2021-01-05 16:00,72.82,-3.8,2.581,81.2,47.62,75.43
2021-01-05 17:00,72.82,-3.6,2.581,81.2,47.62,76
2021-01-05 18:00,71.59,-4.5,2.581,81.2,47.62,77.54
2021-01-05 19:00,70.72,-5.7,2.581,81.2,47.62,75.76
2021-01-05 20:00,69.07,-6.5,2.581,81.2,47.62,73.14
2021-01-05 21:00,69.08,-7.1,2.581,81.2,47.62,70.85
2021-01-05 22:00,69.65,-7.6,2.581,81.2,47.62,68.88
2021-01-05 23:00,68.81,-8.5,2.581,81.2,47.62,66.32
2021-01-05 0:00,68.81,-9.5,2.702,80.35,49.93,65.35
2021-01-06 1:00,68.81,-9.9,2.702,80.35,49.93,67.45
2021-01-06 2:00,68.81,-10.3,2.702,80.35,49.93,62.92
2021-01-06 3:00,68.81,-10.6,2.702,80.35,49.93,60.37
2021-01-06 4:00,68.81,-11.1,2.702,80.35,49.93,58.99
2021-01-06 5:00,68.81,-11.2,2.702,80.35,49.93,58.4
2021-01-06 6:00,74.06,-11.6,2.702,80.35,49.93,59
2021-01-06 7:00,76.65,-11.7,2.702,80.35,49.93,60.58
2021-01-06 8:00,76.64,-11.9,2.702,80.35,49.93,63.85
2021-01-06 9:00,74.85,-11.7,2.702,80.35,49.93,69.4
2021-01-06 10:00,73.9,-10.7,2.702,80.35,49.93,78.04
2021-01-06 11:00,69.52,-8.2,2.702,80.35,49.93,80.18
2021-01-06 12:00,74.1,-7,2.702,80.35,49.93,77.38
2021-01-06 13:00,74.1,-6,2.702,80.35,49.93,74.38
2021-01-06 14:00,74.18,-4.6,2.702,80.35,49.93,70.83
2021-01-06 15:00,74.18,-3.6,2.702,80.35,49.93,75.5
2021-01-06 16:00,74.18,-2.3,2.702,80.35,49.93,76.7
2021-01-06 17:00,74.18,-2.2,2.702,80.35,49.93,77.37
2021-01-06 18:00,71.71,-3.2,2.702,80.35,49.93,79.01
2021-01-06 19:00,70.82,-3.7,2.702,80.35,49.93,77.03
2021-01-06 20:00,69.09,-4.2,2.702,80.35,49.93,74.11
2021-01-06 21:00,69.09,-5.5,2.702,80.35,49.93,71.62
2021-01-06 22:00,70.65,-5.1,2.702,80.35,49.93,69.35
2021-01-06 23:00,69.33,-4.7,2.702,80.35,49.93,66.49
2021-01-06 0:00,69.65,-5.6,2.716,79.45,50.63,65.52
2021-01-07 1:00,69.33,-8.3,2.716,79.45,50.63,67.82
2021-01-07 2:00,69.33,-9.6,2.716,79.45,50.63,67.88
2021-01-07 3:00,69.33,-11.6,2.716,79.45,50.63,65.32
2021-01-07 4:00,69.33,-13.2,2.716,79.45,50.63,64.14
2021-01-07 5:00,69.33,-14.3,2.716,79.45,50.63,63.05
2021-01-07 6:00,74.72,-15,2.716,79.45,50.63,63.44
2021-01-07 7:00,75.53,-15.6,2.716,79.45,50.63,65.03
2021-01-07 8:00,75.72,-16.1,2.716,79.45,50.63,68
2021-01-07 9:00,74.83,-16.4,2.716,79.45,50.63,73.56
2021-01-07 10:00,74.21,-16.2,2.716,79.45,50.63,82.88
2021-01-07 11:00,73.3,-15.3,2.716,79.45,50.63,84.86
2021-01-07 12:00,73.25,-14.8,2.716,79.45,50.63,83.3
2021-01-07 13:00,74.72,-13.8,2.716,79.45,50.63,81.09
2021-01-07 14:00,74.69,-13.1,2.716,79.45,50.63,76.92
2021-01-07 15:00,74.79,-12.4,2.716,79.45,50.63,79.1
2021-01-07 16:00,74.69,-12.4,2.716,79.45,50.63,79.91
2021-01-07 17:00,74.69,-12.3,2.716,79.45,50.63,81.4
2021-01-07 18:00,74.22,-13,2.716,79.45,50.63,83.35
2021-01-07 19:00,71.17,-13.7,2.716,79.45,50.63,82.15
2021-01-07 20:00,70.72,-14.2,2.716,79.45,50.63,80.14
2021-01-07 21:00,69.33,-14.6,2.716,79.45,50.63,77.46
2021-01-07 22:00,73.03,-14.9,2.716,79.45,50.63,74.29
2021-01-07 23:00,70.26,-15.3,2.716,79.45,50.63,70.44
2021-01-07 0:00,69.33,-15.5,2.729,81.05,50.83,69.46
2021-01-08 1:00,69.33,-15.9,2.729,81.05,50.83,71.16
2021-01-08 2:00,69.33,-16.5,2.729,81.05,50.83,67.85
2021-01-08 3:00,69.33,-16.9,2.729,81.05,50.83,66.79
2021-01-08 4:00,69.33,-17.2,2.729,81.05,50.83,65.22
2021-01-08 5:00,69.33,-17.5,2.729,81.05,50.83,63.83
2021-01-08 6:00,71.99,-17.8,2.729,81.05,50.83,64.52
2021-01-08 7:00,74.25,-17.8,2.729,81.05,50.83,65.91
2021-01-08 8:00,75.55,-18.2,2.729,81.05,50.83,69.87
2021-01-08 9:00,75.04,-18.5,2.729,81.05,50.83,74.42
2021-01-08 10:00,74.21,-17.9,2.729,81.05,50.83,82.35
2021-01-08 11:00,73.14,-15.6,2.729,81.05,50.83,84.04
2021-01-08 12:00,73.8,-14.5,2.729,81.05,50.83,83.66
2021-01-08 13:00,74.8,-13.4,2.729,81.05,50.83,82.18
2021-01-08 14:00,74.75,-12.2,2.729,81.05,50.83,79.11
2021-01-08 15:00,75.97,-11.6,2.729,81.05,50.83,81.82
2021-01-08 16:00,74.8,-11.2,2.729,81.05,50.83,83.33
2021-01-08 17:00,74.66,-11.3,2.729,81.05,50.83,83.4
2021-01-08 18:00,74.66,-11.7,2.729,81.05,50.83,85.33
2021-01-08 19:00,71.25,-12.6,2.729,81.05,50.83,82.95
2021-01-08 20:00,69.33,-13.1,2.729,81.05,50.83,79.03
2021-01-08 21:00,69.33,-13.5,2.729,81.05,50.83,76.16
2021-01-08 22:00,73.03,-14.1,2.729,81.05,50.83,72.8
2021-01-08 23:00,74.37,-14.5,2.729,81.05,50.83,69.35
2021-01-08 0:00,71.33,-15.2,2.7,84.3,52.24,69.58
2021-01-09 1:00,68.52,-15.4,2.7,84.3,52.24,70.78
2021-01-09 2:00,68.52,-15.3,2.7,84.3,52.24,69.25
2021-01-09 3:00,68.52,-15.1,2.7,84.3,52.24,66.57
2021-01-09 4:00,70.88,-14.8,2.7,84.3,52.24,64.69
2021-01-09 5:00,72.02,-15.7,2.7,84.3,52.24,63.9
2021-01-09 6:00,71,-16,2.7,84.3,52.24,64.1
2021-01-09 7:00,74.54,-16.4,2.7,84.3,52.24,65.18
2021-01-09 8:00,70.68,-16.3,2.7,84.3,52.24,66.76
2021-01-09 9:00,71.68,-16.2,2.7,84.3,52.24,68.64
2021-01-09 10:00,73.25,-15.2,2.7,84.3,52.24,71.02
2021-01-09 11:00,67.73,-12.5,2.7,84.3,52.24,68.66
2021-01-09 12:00,67.98,-11,2.7,84.3,52.24,67.59
2021-01-09 13:00,69.32,-10.1,2.7,84.3,52.24,65.42
2021-01-09 14:00,71.42,-9.3,2.7,84.3,52.24,62.24
2021-01-09 15:00,71.56,-8.7,2.7,84.3,52.24,63.33
2021-01-09 16:00,74.08,-8.2,2.7,84.3,52.24,64.72
2021-01-09 17:00,74.37,-7.7,2.7,84.3,52.24,67.3
2021-01-09 18:00,71.61,-8.9,2.7,84.3,52.24,70.52
2021-01-09 19:00,70.99,-9.7,2.7,84.3,52.24,71.92
2021-01-09 20:00,69.83,-10.2,2.7,84.3,52.24,72.08
2021-01-09 21:00,69.97,-10.7,2.7,84.3,52.24,70.69
2021-01-09 22:00,73.54,-10.9,2.7,84.3,52.24,69.11
2021-01-09 23:00,68.39,-11.2,2.7,84.3,52.24,66.94
2021-01-09 0:00,68.35,-11.7,2.7,84.3,52.24,66.85
2021-01-10 1:00,68.39,-12.2,2.7,84.3,52.24,68.46
2021-01-10 2:00,66.02,-12.4,2.7,84.3,52.24,63.07
2021-01-10 3:00,67.72,-12.3,2.7,84.3,52.24,59.53
2021-01-10 4:00,68.05,-12.2,2.7,84.3,52.24,57.36
2021-01-10 5:00,68.46,-12.5,2.7,84.3,52.24,56.48
2021-01-10 6:00,68.46,-12.5,2.7,84.3,52.24,56.78
2021-01-10 7:00,68.43,-12.6,2.7,84.3,52.24,57.67
2021-01-10 8:00,67.56,-12.7,2.7,84.3,52.24,58.74
2021-01-10 9:00,67.56,-12.6,2.7,84.3,52.24,59.03
2021-01-10 10:00,67.75,-12.2,2.7,84.3,52.24,59.1
2021-01-10 11:00,65.29,-9.7,2.7,84.3,52.24,57.39
2021-01-10 12:00,69.47,-7.3,2.7,84.3,52.24,57.85
2021-01-10 13:00,67.59,-6,2.7,84.3,52.24,57.56
2021-01-10 14:00,67.64,-3.8,2.7,84.3,52.24,56.77
2021-01-10 15:00,70.1,-2.8,2.7,84.3,52.24,57.65
2021-01-10 16:00,70.1,-3.2,2.7,84.3,52.24,59.05
2021-01-10 17:00,70.16,-3.3,2.7,84.3,52.24,60.74
2021-01-10 18:00,70.16,-3.6,2.7,84.3,52.24,63.22
2021-01-10 19:00,69.47,-4.2,2.7,84.3,52.24,66.56
2021-01-10 20:00,68.88,-4.4,2.7,84.3,52.24,67.93
2021-01-10 21:00,68.93,-4.6,2.7,84.3,52.24,66.84
2021-01-10 22:00,68.98,-4.8,2.7,84.3,52.24,65.27
2021-01-10 23:00,69.62,-5.4,2.7,84.3,52.24,63.31
2021-01-10 0:00,69.62,-6.3,2.7,84.3,52.24,63.93
2021-01-11 1:00,69.62,-6.6,2.7,84.3,52.24,64.56
2021-01-11 2:00,69.62,-7.1,2.7,84.3,52.24,59.19
2021-01-11 3:00,69.62,-7.9,2.7,84.3,52.24,56.82
2021-01-11 4:00,69.62,-8.5,2.7,84.3,52.24,55.54
2021-01-11 5:00,69.65,-9.1,2.7,84.3,52.24,55.25
2021-01-11 6:00,72.18,-9.5,2.7,84.3,52.24,55.84
2021-01-11 7:00,75.47,-9.5,2.7,84.3,52.24,57.91
2021-01-11 8:00,75.47,-9.1,2.7,84.3,52.24,62.17
2021-01-11 9:00,75.17,-8.8,2.7,84.3,52.24,69.81
2021-01-11 10:00,74.69,-8.4,2.7,84.3,52.24,80.37
2021-01-11 11:00,73.47,-7.7,2.7,84.3,52.24,82.85
2021-01-11 12:00,74.75,-6.7,2.7,84.3,52.24,81.39
2021-01-11 13:00,74.75,-6.1,2.7,84.3,52.24,78.6
2021-01-11 14:00,74.75,-5,2.7,84.3,52.24,74.24
2021-01-11 15:00,75.56,-4.3,2.7,84.3,52.24,77.33
2021-01-11 16:00,75.33,-4.1,2.7,84.3,52.24,79.02
2021-01-11 17:00,75.28,-4.1,2.7,84.3,52.24,79.69
2021-01-11 18:00,75.09,-4.2,2.7,84.3,52.24,82.02
2021-01-11 19:00,71.19,-5.1,2.7,84.3,52.24,80.71
2021-01-11 20:00,69.62,-5.4,2.7,84.3,52.24,77.39
2021-01-11 21:00,69.62,-5.7,2.7,84.3,52.24,74.12
2021-01-11 22:00,71.19,-5.9,2.7,84.3,52.24,71.15
2021-01-11 23:00,70.42,-6.6,2.7,84.3,52.24,67.9
2021-01-11 0:00,69.65,-6.7,2.747,84.5,52.25,66.83
2021-01-12 1:00,69.33,-6.1,2.747,84.5,52.25,69.04
2021-01-12 2:00,69.33,-6.3,2.747,84.5,52.25,67.99
2021-01-12 3:00,69.33,-7.5,2.747,84.5,52.25,65.62
2021-01-12 4:00,69.33,-8.2,2.747,84.5,52.25,64.63
2021-01-12 5:00,70.44,-8.6,2.747,84.5,52.25,64.23
2021-01-12 6:00,71.22,-8.9,2.747,84.5,52.25,63.23
2021-01-12 7:00,74.22,-9.1,2.747,84.5,52.25,65.82
2021-01-12 8:00,75.78,-9.3,2.747,84.5,52.25,67.99
2021-01-12 9:00,75.78,-9.1,2.747,84.5,52.25,72.15
2021-01-12 10:00,75.77,-7.7,2.747,84.5,52.25,80.89
2021-01-12 11:00,74.66,-5.6,2.747,84.5,52.25,83.87
2021-01-12 12:00,75.19,-3.9,2.747,84.5,52.25,84.15
2021-01-12 13:00,84.82,-1.9,2.747,84.5,52.25,83.47
2021-01-12 14:00,79.63,-1,2.747,84.5,52.25,79.7
2021-01-12 15:00,88.05,-0.7,2.747,84.5,52.25,82.11
2021-01-12 16:00,79.61,-0.8,2.747,84.5,52.25,83.31
2021-01-12 17:00,74.05,-1.5,2.747,84.5,52.25,82.6
2021-01-12 18:00,72.99,-1.1,2.747,84.5,52.25,83.57
2021-01-12 19:00,71.58,-0.8,2.747,84.5,52.25,81.05
2021-01-12 20:00,70.35,-1.3,2.747,84.5,52.25,78.64
2021-01-12 21:00,70.35,-1.2,2.747,84.5,52.25,74.76
2021-01-12 22:00,71.58,-0.9,2.747,84.5,52.25,72.79
2021-01-12 23:00,72.37,-1.5,2.747,84.5,52.25,69.33
2021-01-12 0:00,69.69,-1.8,2.753,86.5,53.21,69.15
2021-01-13 1:00,68.75,-2,2.753,86.5,53.21,70.34
2021-01-13 2:00,68.75,-2.1,2.753,86.5,53.21,70.84
2021-01-13 3:00,68.75,-2.1,2.753,86.5,53.21,67.77
2021-01-13 4:00,69.44,-2.4,2.753,86.5,53.21,66.38
2021-01-13 5:00,70.84,-2.8,2.753,86.5,53.21,65.48
2021-01-13 6:00,74.17,-2.9,2.753,86.5,53.21,65.38
2021-01-13 7:00,74.73,-2.7,2.753,86.5,53.21,67.27
2021-01-13 8:00,76.22,-3,2.753,86.5,53.21,70.95
2021-01-13 9:00,76.22,-2.9,2.753,86.5,53.21,74.61
2021-01-13 10:00,74.18,-2.1,2.753,86.5,53.21,82.26
2021-01-13 11:00,73.44,-0.6,2.753,86.5,53.21,83.14
2021-01-13 12:00,75.37,1.4,2.753,86.5,53.21,83.83
2021-01-13 13:00,75.2,2.9,2.753,86.5,53.21,81.04
2021-01-13 14:00,74.86,4.4,2.753,86.5,53.21,77.97
2021-01-13 15:00,75.63,7.3,2.753,86.5,53.21,81.48
2021-01-13 16:00,75.63,8.2,2.753,86.5,53.21,82.18
2021-01-13 17:00,75.64,8,2.753,86.5,53.21,82.27
2021-01-13 18:00,75.64,7.3,2.753,86.5,53.21,84.14
2021-01-13 19:00,72.02,6.9,2.753,86.5,53.21,83.12
2021-01-13 20:00,71.27,5.8,2.753,86.5,53.21,82.32
2021-01-13 21:00,70.38,5.1,2.753,86.5,53.21,78.44
2021-01-13 22:00,71.11,3.9,2.753,86.5,53.21,75.16
2021-01-13 23:00,70.11,2.8,2.753,86.5,53.21,72.49
2021-01-13 0:00,69.67,1.9,2.727,87.3,52.91,71.21
2021-01-14 1:00,69.67,0.9,2.727,87.3,52.91,71.81
2021-01-14 2:00,69.67,0.3,2.727,87.3,52.91,65.51
2021-01-14 3:00,69.67,-0.6,2.727,87.3,52.91,62.93
2021-01-14 4:00,69.67,-1.2,2.727,87.3,52.91,62.14
2021-01-14 5:00,69.67,-2.1,2.727,87.3,52.91,61.65
2021-01-14 6:00,72.22,-2.4,2.727,87.3,52.91,61.65
2021-01-14 7:00,73.86,-2.8,2.727,87.3,52.91,63.54
2021-01-14 8:00,74.83,-3.1,2.727,87.3,52.91,66.41
2021-01-14 9:00,74.82,-3.4,2.727,87.3,52.91,70.78
2021-01-14 10:00,73.86,-3,2.727,87.3,52.91,78.74
2021-01-14 11:00,71.47,-0.6,2.727,87.3,52.91,81.43
2021-01-14 12:00,74.53,1.4,2.727,87.3,52.91,80.24
2021-01-14 13:00,74.81,3.3,2.727,87.3,52.91,78.16
2021-01-14 14:00,74.81,4.7,2.727,87.3,52.91,75.49
2021-01-14 15:00,74.81,5.9,2.727,87.3,52.91,78.37
2021-01-14 16:00,74.42,6.8,2.727,87.3,52.91,80.17
2021-01-14 17:00,73.86,6.8,2.727,87.3,52.91,80.66
2021-01-14 18:00,71,5.9,2.727,87.3,52.91,81.23
2021-01-14 19:00,70.99,4.5,2.727,87.3,52.91,78.9
2021-01-14 20:00,68.81,3.9,2.727,87.3,52.91,77.59
2021-01-14 21:00,68.81,3.8,2.727,87.3,52.91,74.1
2021-01-14 22:00,69.44,3.5,2.727,87.3,52.91,71.02
2021-01-14 23:00,68.17,3.3,2.727,87.3,52.91,67.65
2021-01-14 0:00,69.44,2.8,2.666,87.25,53.57,66.87
2021-01-15 1:00,67.58,2.1,2.666,87.25,53.57,68.37
2021-01-15 2:00,68.78,2.2,2.666,87.25,53.57,63.09
2021-01-15 3:00,68.62,2.6,2.666,87.25,53.57,61.43
2021-01-15 4:00,68.78,3.2,2.666,87.25,53.57,59.54
2021-01-15 5:00,68.78,3.2,2.666,87.25,53.57,60.25
2021-01-15 6:00,70.1,3.5,2.666,87.25,53.57,59.96
2021-01-15 7:00,73.25,3.7,2.666,87.25,53.57,61.25
2021-01-15 8:00,73.25,3.8,2.666,87.25,53.57,63.33
2021-01-15 9:00,73.25,4.2,2.666,87.25,53.57,68.19
2021-01-15 10:00,73.25,4.8,2.666,87.25,53.57,76.35
2021-01-15 11:00,70.67,5.5,2.666,87.25,53.57,79.79
2021-01-15 12:00,71.78,6.3,2.666,87.25,53.57,79.12
2021-01-15 13:00,71.78,8.8,2.666,87.25,53.57,78.15
2021-01-15 14:00,71.78,9.8,2.666,87.25,53.57,74.18
2021-01-15 15:00,71.78,9.8,2.666,87.25,53.57,76.36
2021-01-15 16:00,71.21,9.2,2.666,87.25,53.57,76.56
2021-01-15 17:00,71.05,7.7,2.666,87.25,53.57,76.75
2021-01-15 18:00,69.96,6.7,2.666,87.25,53.57,76.5
2021-01-15 19:00,68.85,5.3,2.666,87.25,53.57,74.13
2021-01-15 20:00,67.6,4,2.666,87.25,53.57,72.2
2021-01-15 21:00,67.24,3.1,2.666,87.25,53.57,69.11
2021-01-15 22:00,69.44,1.5,2.666,87.25,53.57,67.03
2021-01-15 23:00,68.65,0.8,2.666,87.25,53.57,64.96
2021-01-15 0:00,68.48,0.2,2.737,87.4,52.36,63.68
2021-01-16 1:00,67.07,-0.7,2.737,87.4,52.36,65.49
2021-01-16 2:00,66.62,-1.7,2.737,87.4,52.36,63.1
2021-01-16 3:00,66.59,-2.4,2.737,87.4,52.36,59.84
2021-01-16 4:00,66.65,-3.1,2.737,87.4,52.36,58.27
2021-01-16 5:00,69.58,-4,2.737,87.4,52.36,57.99
2021-01-16 6:00,69.58,-4.7,2.737,87.4,52.36,57.79
2021-01-16 7:00,69.23,-5.4,2.737,87.4,52.36,58.27
2021-01-16 8:00,68.35,-6,2.737,87.4,52.36,59.54
2021-01-16 9:00,69.58,-6.6,2.737,87.4,52.36,60.4
2021-01-16 10:00,68.82,-6.5,2.737,87.4,52.36,61.76
2021-01-16 11:00,66.71,-5.8,2.737,87.4,52.36,61.57
2021-01-16 12:00,69.58,-4.9,2.737,87.4,52.36,62.71
2021-01-16 13:00,68.9,-3.6,2.737,87.4,52.36,62.04
2021-01-16 14:00,67.83,-2.3,2.737,87.4,52.36,60.27
2021-01-16 15:00,68.66,-1.8,2.737,87.4,52.36,61.68
2021-01-16 16:00,69.58,-1.7,2.737,87.4,52.36,61.5
2021-01-16 17:00,69.58,-2.9,2.737,87.4,52.36,62.46
2021-01-16 18:00,68.67,-3.3,2.737,87.4,52.36,63.24
2021-01-16 19:00,68.02,-4.1,2.737,87.4,52.36,64.64
2021-01-16 20:00,67.78,-4.7,2.737,87.4,52.36,64.4
2021-01-16 21:00,67.65,-5.6,2.737,87.4,52.36,64.22
2021-01-16 22:00,68.04,-6.4,2.737,87.4,52.36,62.26
2021-01-16 23:00,68.47,-7.4,2.737,87.4,52.36,61.61
2021-01-16 0:00,68.47,-8.2,2.737,87.4,52.36,61.23
2021-01-17 1:00,68.34,-8.7,2.737,87.4,52.36,62.83
2021-01-17 2:00,66.69,-9.3,2.737,87.4,52.36,64.48
2021-01-17 3:00,66.69,-9.4,2.737,87.4,52.36,62.04
2021-01-17 4:00,67.43,-9.5,2.737,87.4,52.36,60.38
2021-01-17 5:00,68.29,-9.8,2.737,87.4,52.36,59.41
2021-01-17 6:00,68.29,-9.8,2.737,87.4,52.36,59.21
2021-01-17 7:00,68.27,-10.3,2.737,87.4,52.36,59.69
2021-01-17 8:00,66.79,-10.5,2.737,87.4,52.36,60.26
2021-01-17 9:00,66.47,-10.8,2.737,87.4,52.36,60.44
2021-01-17 10:00,68.04,-9.9,2.737,87.4,52.36,60.52
2021-01-17 11:00,65.4,-8.1,2.737,87.4,52.36,58.66
2021-01-17 12:00,66.01,-6.1,2.737,87.4,52.36,58.7
2021-01-17 13:00,69.04,-4.4,2.737,87.4,52.36,58.12
2021-01-17 14:00,67.58,-3.1,2.737,87.4,52.36,57.31
2021-01-17 15:00,71.25,-2.2,2.737,87.4,52.36,57.78
2021-01-17 16:00,72.49,-1.6,2.737,87.4,52.36,58.66
2021-01-17 17:00,72.49,-1.8,2.737,87.4,52.36,60.54
2021-01-17 18:00,72.49,-2.2,2.737,87.4,52.36,62.85
2021-01-17 19:00,69.03,-2.6,2.737,87.4,52.36,65.64
2021-01-17 20:00,67.63,-2.8,2.737,87.4,52.36,66.9
2021-01-17 21:00,68.21,-2.8,2.737,87.4,52.36,66.02
2021-01-17 22:00,67.99,-2.8,2.737,87.4,52.36,64.66
2021-01-17 23:00,69.44,-3,2.737,87.4,52.36,62.93
2021-01-17 0:00,67.98,-3,2.64,87.4,52.2,63.46
2021-01-18 1:00,67.15,-3,2.64,87.4,52.2,64.57
2021-01-18 2:00,65.28,-3.6,2.64,87.4,52.2,58.9
2021-01-18 3:00,67.7,-3.3,2.64,87.4,52.2,57.03
2021-01-18 4:00,68.8,-3.4,2.64,87.4,52.2,55.95
2021-01-18 5:00,68.8,-3.2,2.64,87.4,52.2,55.57
2021-01-18 6:00,69.15,-3.5,2.64,87.4,52.2,56.06
2021-01-18 7:00,72.33,-3.7,2.64,87.4,52.2,57.54
